sample1,,sample2,,sample3,,sample4,,sample5,,sample6,,vzorek1,,vzorek2,,vzorek3,,specimen0,,specimen1,,specimen2,,
792.013855,0.7390146255,468.01297,0.7798581719,520.0084229,0.7558996677,520.0084229,0.7607220411,584.0060425,0.7483991981,919.9850464,0.7202810049,919.9850464,0.7204182148,420.0090637,0.797188282,483.9822998,0.7722920775,483.9822998,0.7711466551,420.0090637,0.7985457182,996.8085938,0.6936932802,
791.4902954,0.7416034937,465.9846497,0.7794312835,515.008606,0.7563584447,515.008606,0.7577652931,582.9990845,0.7466578484,915.0023804,0.708955586,915.0023804,0.7095080018,414.9892578,0.8057886958,482.990509,0.7633655667,482.990509,0.7630865574,414.9892578,0.8025056124,996.5874634,0.692147553,
791.0014648,0.7390921712,463.9937439,0.7774051428,510.0032959,0.7648898363,510.0032959,0.7636486888,581.9918823,0.7463453412,910.006958,0.707859993,910.006958,0.7111291289,410.0037537,0.8060806394,481.9984741,0.7634158134,481.9984741,0.7661235332,410.0037537,0.8069207072,996.3979492,0.6903480291,
790.5126953,0.7398687601,462.0020752,0.7811453342,504.9926453,0.765645206,504.9926453,0.7658792734,580.984375,0.7481090426,904.9990234,0.7214714885,904.9990234,0.7180974483,405.0142212,0.8131347895,481.0062256,0.7677161098,481.0062256,0.7689993978,405.0142212,0.8089129329,996.208374,0.6917617321,
789.9887695,0.7403639555,460.0097046,0.786278069,500.0147095,0.7667783499,500.0147095,0.7642867565,580.0140381,0.7480398417,900.012085,0.7234628201,900.012085,0.7191829085,399.9819336,0.8147704601,480.0137329,0.7703879476,480.0137329,0.7680629492,399.9819336,0.8194794059,995.9871826,0.6971363425,
789.4996338,0.7387492657,458.016571,0.7866821289,494.9935913,0.7701814771,494.9935913,0.7654843926,579.0059204,0.7471398711,895.0128174,0.7217652798,895.0128174,0.7198525071,394.9842834,0.8286570907,478.9829712,0.768904388,478.9829712,0.7703652382,394.9842834,0.8233389854,995.7976685,0.6965195537,
789.010498,0.739741981,455.9843445,0.7838689089,490.0053711,0.7690390944,490.0053711,0.7674988508,577.9977417,0.7484152913,890.0014648,0.7232769728,890.0014648,0.7246593237,389.9826965,0.8243872523,477.9900818,0.7708134055,477.9900818,0.7700110674,389.9826965,0.8163213134,995.6080322,0.6936446428,
788.4863892,0.7398488522,453.9897461,0.7856144905,485.0121155,0.7755879164,485.0121155,0.7706210017,576.9892578,0.7490076423,885.0117188,0.733792007,885.0117188,0.7306890488,385.0160217,0.8349621296,476.9971008,0.7698213458,476.9971008,0.7712116241,385.0160217,0.8224409223,995.3867798,0.6945282221,
787.9970093,0.7395510077,451.9943237,0.7852726579,480.0137329,0.7731372118,480.0137329,0.7697880864,576.0178833,0.7440362573,880.0100098,0.7341298461,880.0100098,0.732961297,380.0066528,0.8362397552,476.0039063,0.7703607082,476.0039063,0.771605432,380.0066528,0.8349336982,995.1971436,0.6930482388,
787.5075684,0.7395880222,449.99823,0.7917512655,475.0105286,0.7728637457,475.0105286,0.7775261402,575.0088501,0.7473275661,874.99646,0.7416827083,874.99646,0.7334119081,374.9934998,0.8415886164,475.0105286,0.772895813,475.0105286,0.7688080072,374.9934998,0.8406428099,995.0074463,0.6949250698,
786.9829712,0.7415034771,448.0014038,0.7898866534,470.0023193,0.7769495249,470.0023193,0.773376286,573.9996338,0.7485159039,870.005127,0.7328816056,870.005127,0.7320955396,370.0155029,0.8470113873,474.0168762,0.7701938152,474.0168762,0.7727895975,370.0155029,0.8468071222,994.7860107,0.695828259,
786.4934692,0.7384122014,446.0038757,0.7880236506,464.9892578,0.7775454521,464.9892578,0.7804660201,572.9901123,0.7452211976,865.0021362,0.7343856692,865.0021362,0.7350244522,364.9949341,0.8612689376,472.9848938,0.7731639147,472.9848938,0.7726904154,364.9949341,0.858672142,994.5964355,0.6990691423,
786.0037231,0.7375556827,444.0055237,0.7902831435,460.0097046,0.7843559384,460.0097046,0.7854431272,572.0177612,0.7453446388,859.987793,0.7344282866,859.987793,0.723859787,360.009613,0.8545324206,471.9908447,0.7727630734,471.9908447,0.7722042203,360.009613,0.858188808,994.4065552,0.6971547604,
785.513855,0.7394934893,442.0065308,0.7929705381,454.9871521,0.7881509066,454.9871521,0.7897012234,571.0078125,0.7458330989,854.9960938,0.7413662672,854.9960938,0.7293826938,354.981781,0.8732070923,470.9967041,0.7748649716,470.9967041,0.773657918,354.981781,0.8667362332,994.1851807,0.6983354092,
784.9889526,0.7389004827,440.0068054,0.7917224169,449.99823,0.7893117666,449.99823,0.7939763069,569.9975586,0.7464312911,849.9934082,0.7328903079,849.9934082,0.7415302992,349.9894104,0.8800612688,470.0023193,0.7743160725,470.0023193,0.7732323408,349.9894104,0.8831169605,993.9953003,0.6976767182,
784.4989014,0.738996923,438.0062866,0.7955380082,445.0048218,0.7904776931,445.0048218,0.7892306447,568.9870605,0.7489679456,845.0136108,0.7348654866,845.0136108,0.7315637469,344.9935913,0.8850726485,469.0077515,0.7747742534,469.0077515,0.7753674388,344.9935913,0.8833149076,993.805542,0.7008780837,
784.0087891,0.739141643,436.0051575,0.798543036,440.0068054,0.797172308,440.0068054,0.7947822213,568.0137329,0.7473463416,839.9889526,0.73594594,839.9889526,0.7391191721,339.9943237,0.8924890161,468.01297,0.7767858505,468.01297,0.7781191468,339.9943237,0.9002282619,993.5840454,0.7017015815,
783.4836426,0.737694025,434.0032654,0.7963321209,435.0042725,0.8040712476,435.0042725,0.7958170176,567.0027466,0.7458516955,834.9874268,0.7405157089,834.9874268,0.7385889292,334.9917603,0.902020216,467.0180359,0.7791345716,467.0180359,0.7747339606,334.9917603,0.9037294388,993.394165,0.7011161447,
782.9933472,0.7395325303,432.0006714,0.8041169047,429.997406,0.8005545139,429.997406,0.7972842455,565.9915161,0.7438248396,830.0095825,0.7425810099,830.0095825,0.7458980083,329.9858704,0.9102615714,465.9846497,0.7776939869,465.9846497,0.77694875,329.9858704,0.9131252766,993.2041626,0.6969775558,
782.5029297,0.7382235527,429.997406,0.7993937135,424.986145,0.8053575754,424.986145,0.792540729,565.0174561,0.7467857599,824.9868774,0.7460609078,824.9868774,0.7443861961,325.0158691,0.9204890132,464.9892578,0.7785464525,464.9892578,0.7787811756,325.0158691,0.9192220569,993.0144043,0.6967099309,
782.0124512,0.7368165851,427.9933472,0.8012946844,420.0090637,0.8046488762,420.0090637,0.7977969646,564.0057983,0.7473302484,819.9880981,0.7430142164,819.9880981,0.7361975908,320.0035095,0.9369726777,463.9937439,0.7780112028,463.9937439,0.7786508203,320.0035095,0.9289496541,992.7927856,0.6937423944,
781.4868774,0.735106051,425.988739,0.8019640446,414.9892578,0.8067370057,414.9892578,0.8088049293,562.9938354,0.7468230128,815.0133667,0.7388504744,815.0133667,0.7454737425,314.9879761,0.9459988475,462.9980469,0.7805530429,462.9980469,0.7810583711,314.9879761,0.9335403442,992.6028442,0.6912922859,
780.9962158,0.7377771735,423.9833069,0.8059102893,410.0037537,0.8102940917,410.0037537,0.8080952168,561.9816284,0.7471606135,809.9939575,0.7433366179,809.9939575,0.7375286222,310.0085754,0.9542828798,462.0020752,0.7814897895,462.0020752,0.7822828293,310.0085754,0.9560157061,992.4127808,0.690939486,
780.5054321,0.7390629649,422.0158386,0.8051671982,405.0142212,0.812866807,405.0142212,0.8074259162,561.0066528,0.7458244562,804.9989624,0.7383015156,804.9989624,0.7455304265,304.9869385,0.989441216,461.0059814,0.7805864811,461.0059814,0.7854919434,304.9869385,0.9772467017,992.1911621,0.6895017624,
780.0145264,0.7368932962,420.0090637,0.7986795306,399.9819336,0.805824995,399.9819336,0.8129315376,559.9939575,0.7477831244,799.9938354,0.7392543554,799.9938354,0.7362602949,300.0015259,1.083861232,460.0097046,0.7829577923,460.0097046,0.7846512794,300.0015259,1.036333203,992.0010986,0.6916207075,
779.4885254,0.7347819805,418.0016174,0.801215589,394.9842834,0.8285287619,394.9842834,0.8262542486,559.0185547,0.7484954596,795.0136108,0.7422720194,795.0136108,0.7415242791,295.0132446,1.320396662,459.0133057,0.7790180445,459.0133057,0.7794510126,295.0132446,1.125260711,991.8110962,0.6940382123,
778.9974976,0.7338511348,415.9934998,0.8018721938,389.9826965,0.8242413402,389.9826965,0.8180872202,558.0053711,0.7457223535,789.9887695,0.7377055287,789.9887695,0.7372224927,289.9827576,1.628412008,458.016571,0.7789357901,458.016571,0.7822772264,289.9827576,1.268122435,991.5893555,0.6943233013,
778.5063477,0.73781389,413.9847412,0.8056880236,385.0160217,0.8248918056,385.0160217,0.8243719935,556.9918823,0.7473957539,784.9889526,0.7366926074,784.9889526,0.7384697795,284.9887085,1.771916628,456.9813843,0.7847726941,456.9813843,0.7836611867,284.9887085,1.343339562,991.399292,0.6929039359,
778.0151367,0.7378445268,412.013916,0.8130532503,380.0066528,0.8395278454,380.0066528,0.8352795243,556.0158081,0.7484149337,780.0145264,0.7359023094,780.0145264,0.7324435115,279.9919434,1.848458052,455.9843445,0.7846189141,455.9843445,0.7838135958,279.9919434,1.389964581,991.2091064,0.694013834,
777.4887085,0.7385786176,410.0037537,0.814825654,374.9934998,0.8396835327,374.9934998,0.8296450377,555.0018921,0.7488539815,774.9955444,0.7327346206,774.9955444,0.7423449159,274.9924011,1.843077421,454.9871521,0.7851573825,454.9871521,0.7886112332,274.9924011,1.410682917,990.9873047,0.6962578893,
776.9972534,0.7348083854,407.9930115,0.8104193807,370.0155029,0.8471797109,370.0155029,0.8472697735,553.9877319,0.7485709786,770.0021973,0.7337962985,770.0021973,0.736333251,269.9902649,1.803797483,453.9897461,0.7890518308,453.9897461,0.7869080901,269.9902649,1.402791142,990.7971191,0.6981496811,
776.5057373,0.7324143648,405.9815369,0.8104910851,364.9949341,0.8557155132,364.9949341,0.854315877,553.0109253,0.7461006641,764.9995117,0.7332261205,764.9995117,0.7359270453,264.9854431,1.729867339,452.992157,0.7893402576,452.992157,0.7912895679,264.9854431,1.385321856,990.6068726,0.6988664865,
776.0141602,0.7390520573,404.0081177,0.8123575449,360.009613,0.8593794107,360.009613,0.8546671271,551.9962769,0.7471312284,759.9874878,0.732192874,759.9874878,0.7284811735,260.0174866,1.644613385,451.9943237,0.7892774343,451.9943237,0.7882814407,260.0174866,1.360538363,990.3848877,0.7017778754,
775.4873047,0.7390813231,401.9953308,0.8137654662,354.981781,0.8722856045,354.981781,0.8664853573,550.9815063,0.7482090592,755.0016479,0.7337520123,755.0016479,0.7350074649,255.0076141,1.622278333,450.9963989,0.788001895,450.9963989,0.7904618979,255.0076141,1.389221191,990.1948242,0.6982828975,
774.9955444,0.7378388047,399.9819336,0.8204463124,349.9894104,0.8840789199,349.9894104,0.8760105968,550.0039063,0.746964395,750.0067749,0.7312105894,750.0067749,0.7298374772,249.9952545,1.645100236,449.99823,0.7913814187,449.99823,0.7903274298,249.9952545,1.431705832,990.0045776,0.7023012638,
774.5036621,0.7371711731,398.0065918,0.8206833005,344.9935913,0.888340354,344.9935913,0.885651052,548.9885864,0.7478327751,745.0028687,0.7355541587,745.0028687,0.7312815785,244.9804535,1.80490911,448.9999084,0.7902858257,448.9999084,0.790425837,244.9804535,1.521245599,989.814209,0.7030944824,
774.0117188,0.7375184894,395.9918823,0.8217522502,339.9943237,0.8986243606,339.9943237,0.8965616226,548.0106201,0.7471296191,739.9901123,0.7350231409,739.9901123,0.7347285151,240.0027771,2.167605877,448.0014038,0.7914626002,448.0014038,0.7932356596,240.0027771,1.689726353,989.5922241,0.6973808408,
773.4844971,0.7380049825,394.0152893,0.8236060739,334.9917603,0.9048214555,334.9917603,0.8960301876,546.994751,0.7416968942,735.0040894,0.7361629605,735.0040894,0.7314810753,234.9832916,3.010047436,447.0027161,0.79091537,447.0027161,0.7906728983,234.9832916,2.068000317,989.4019775,0.7007088661,
772.9923096,0.7365779877,391.9993286,0.8236472607,329.9858704,0.9197208881,329.9858704,0.9097277522,546.0164185,0.7460526228,730.0093994,0.7383627892,730.0093994,0.7398862839,230.0010834,3.729391575,446.0038757,0.788808465,446.0038757,0.7880345583,230.0010834,2.820162773,989.2116089,0.6967478991,
772.500061,0.7375275493,389.9826965,0.8258690834,325.0158691,0.9302815199,325.0158691,0.9175517559,545.000061,0.7500159144,725.0060425,0.7378795743,725.0060425,0.7403926253,225.0166321,2.567614555,445.0048218,0.7914603353,445.0048218,0.7930830717,225.0166321,2.51355052,988.989502,0.6987320185,
772.0076904,0.7364116907,388.0042419,0.8268820643,320.0035095,0.9366311431,320.0035095,0.9259895682,543.9835205,0.7493354082,719.9942627,0.7272054553,719.9942627,0.7319046259,219.9904785,3.51803112,444.0055237,0.7931779027,444.0055237,0.7924590707,219.9904785,3.404440403,988.7990723,0.7042645216,
771.5152588,0.7376577854,385.9863586,0.8294355273,314.9879761,0.9348412752,314.9879761,0.9335701466,543.0044556,0.7494630814,715.0097046,0.7237775922,715.0097046,0.7219734788,215.0017853,3.799734354,443.0061646,0.7946901917,443.0061646,0.7952190042,215.0017853,3.569633007,988.6087036,0.7052787542,
770.9875488,0.7361758351,384.0066833,0.8264639974,310.0085754,0.9615352154,310.0085754,0.950771451,541.9874268,0.7480379343,710.0169067,0.7263596654,710.0169067,0.7252230048,210.0110168,3.770019531,442.0065308,0.7982522845,442.0065308,0.7963145375,210.0110168,3.651588202,988.3865356,0.7006329894,
770.4949341,0.7364245653,381.9875793,0.8329522014,304.9869385,0.9737230539,304.9869385,0.9758394361,541.0078735,0.742688179,705.0158691,0.7215502858,705.0158691,0.7223575711,205.0182495,4.411299706,441.0067749,0.7971634269,441.0067749,0.7946996093,205.0182495,3.894112825,988.1959839,0.7013096213,
770.0021973,0.7345559001,380.0066528,0.8343065977,300.0015259,0.9964222908,300.0015259,0.98980093,539.9904785,0.7452504635,700.0065918,0.7231878638,700.0065918,0.7294375896,199.9838715,3.907769442,440.0068054,0.7947093844,440.0068054,0.7923176289,199.9838715,3.925226212,988.0054932,0.698097229,
769.5093994,0.7359188795,377.9863281,0.8451182246,295.0132446,1.021102786,295.0132446,1.017033339,539.010437,0.7481244802,694.9891968,0.7353137136,694.9891968,0.7303118706,194.9872131,4.666321278,439.0065918,0.7953927517,439.0065918,0.7952312827,194.9872131,3.787500858,987.8151245,0.7033355832,
769.0165405,0.7362050414,376.0042114,0.8355155587,289.9827576,1.040485382,289.9827576,1.039484024,537.9925537,0.7510585785,689.9998169,0.7371959686,689.9998169,0.738748908,189.9886932,4.131971359,438.0062866,0.7979952097,438.0062866,0.7929554582,189.9886932,3.878550529,987.5927734,0.7017652392,
768.4882813,0.73592031,373.9826355,0.8378740549,284.9887085,1.067666292,284.9887085,1.060439348,537.012085,0.7484624386,685.0025635,0.7432075739,685.0025635,0.7383861542,,,437.0058289,0.7978296876,437.0058289,0.7978271246,,,987.4022217,0.7032365799,
767.9951782,0.7361818552,371.9993896,0.8458921909,279.9919434,1.092448354,279.9919434,1.077800155,535.9936523,0.7464299798,679.9974976,0.7389131188,679.9974976,0.7394136786,,,436.0051575,0.7975140214,436.0051575,0.7966413498,,,987.2115479,0.7037001848,
767.5020142,0.7357929349,370.0155029,0.843293488,274.9924011,1.116248369,274.9924011,1.108554363,535.0127563,0.7508984208,674.9844971,0.7450093031,674.9844971,0.7406850457,,,435.0042725,0.7997877598,435.0042725,0.7970889211,,,986.9893188,0.701880157,
767.0087891,0.7353659272,367.9921265,0.8575903773,269.9902649,1.135684609,269.9902649,1.094576955,533.9938965,0.7513911128,670.0003052,0.7419325709,670.0003052,0.7381212115,,,434.0032654,0.7962946296,434.0032654,0.7969071865,,,986.798645,0.7003154755,
766.5153809,0.7355264425,366.0071106,0.8515794277,264.9854431,1.160538316,264.9854431,1.160092831,533.0125732,0.7459859252,665.0084839,0.7439184189,665.0084839,0.7445057631,,,433.0020447,0.7976543307,433.0020447,0.7967759967,,,986.6079712,0.7086340785,
765.9866333,0.7404614091,363.9825745,0.8606900573,260.0174866,1.188982129,260.0174866,1.172731519,531.9932861,0.7496691346,660.0091553,0.7389057875,660.0091553,0.7406575084,,,432.0006714,0.7995119691,432.0006714,0.7965728045,,,986.3856201,0.7057572603,
765.4931641,0.7365176678,361.9963684,0.8589820862,255.0076141,1.244550109,255.0076141,1.235514164,531.0114746,0.7492118478,655.0023804,0.7438179851,655.0023804,0.7436326146,,,430.999115,0.7986578345,430.999115,0.7978520393,,,986.1949463,0.7077201605,
764.9995117,0.7349197865,360.009613,0.8568661213,249.9952545,1.290639758,249.9952545,1.28681004,529.9916992,0.7566627264,649.9881592,0.7389624715,649.9881592,0.7387892008,,,429.997406,0.7994251847,429.997406,0.798596859,,,986.0042114,0.7078102231,
764.5057373,0.7334774733,357.9833374,0.8755036592,244.9804535,1.333252907,244.9804535,1.345486522,529.0094604,0.7482175827,645.0032349,0.7391090989,645.0032349,0.7449122071,,,428.9955139,0.8018325567,428.9955139,0.8024148941,,,985.8134766,0.7060919404,
764.0119629,0.7325764894,355.9954529,0.8647207618,240.0027771,1.3913697,240.0027771,1.398238301,527.9892578,0.7461351156,640.0111694,0.7462245226,640.0111694,0.7449950576,,,427.9933472,0.800686717,427.9933472,0.8005100489,,,985.5908813,0.7099348903,
763.4827881,0.7352115512,354.0069885,0.8714956641,234.9832916,1.461575985,234.9832916,1.458133459,527.0065918,0.7501196265,635.0119629,0.7372601032,635.0119629,0.7412167788,,,426.9911194,0.8040642738,426.9911194,0.8008387089,,,985.4001465,0.7075738907,
762.9887695,0.7335535884,352.0179749,0.8717867732,230.0010834,1.53487289,230.0010834,1.535569072,525.9859619,0.7472580075,630.0056763,0.7455912232,630.0056763,0.7464811206,,,425.988739,0.8029099107,425.988739,0.8029537797,,,985.2094116,0.7072021365,
762.4946899,0.7346667647,349.9894104,0.8833933473,225.0166321,1.553883076,225.0166321,1.591738939,525.0028687,0.7497820854,624.9923706,0.742165029,624.9923706,0.743288517,,,424.986145,0.8039457202,424.986145,0.8024169207,,,984.9868164,0.7089454532,
762.0004883,0.7352321744,347.9992981,0.8827537894,219.9904785,1.674350262,219.9904785,1.740607262,523.9816284,0.7526507378,620.0090942,0.7407451272,620.0090942,0.7469556332,,,423.9833069,0.800981164,423.9833069,0.8008481264,,,984.7958984,0.7053673267,
761.5061646,0.7357404232,346.0086365,0.8846107125,215.0017853,1.809564114,215.0017853,1.898682237,522.9981079,0.7535686493,614.9819336,0.7407215834,614.9819336,0.744233489,,,423.0189514,0.7996380329,423.0189514,0.8013008833,,,984.6050415,0.7099669576,
761.0118408,0.7342226505,344.0174561,0.886190474,210.0110168,1.9952209,210.0110168,2.12409997,522.0144653,0.7533833385,609.9849854,0.7421137691,609.9849854,0.7463855147,,,422.0158386,0.8034695387,422.0158386,0.804379344,,,984.4141235,0.7081673741,
760.517334,0.7367593646,341.9866333,0.8900896311,205.0182495,2.278397799,205.0182495,2.427063704,520.9925537,0.7569535375,605.0184937,0.7450001836,605.0184937,0.7464396358,,,421.0125427,0.8010853529,421.0125427,0.8032034636,,,984.1914673,0.7083712816,
759.9874878,0.7344805598,339.9943237,0.8922275901,199.9838715,2.519083261,199.9838715,2.761707783,520.0084229,0.7572011948,600.0081787,0.7503740788,600.0081787,0.7514687777,,,420.0090637,0.7996115088,420.0090637,0.8026364446,,,984.0004883,0.711494565,
759.4928589,0.7352038026,338.0015259,0.8988303542,194.9872131,2.714565516,194.9872131,3.469586372,518.986145,0.7566564679,594.991394,0.7465773225,594.991394,0.7518629432,,,419.0054626,0.8034427762,419.0054626,0.8031514883,,,983.8095703,0.709756732,
758.9981079,0.7362257242,336.0081787,0.8974074721,189.9886932,2.677461863,189.9886932,3.410144329,518.0015259,0.7536237836,590.0053101,0.7485793829,590.0053101,0.7457345724,,,418.0016174,0.8046336174,418.0016174,0.8015658259,,,983.586731,0.7070583105,
758.5032349,0.7343797684,334.0142822,0.9006596804,,,,,517.0167236,0.7550944686,585.0128174,0.7485351563,585.0128174,0.7489442825,,,416.9976807,0.8036340475,416.9976807,0.803268373,,,983.395752,0.7118041515,
758.0084229,0.7361418009,331.9808044,0.9062566757,,,,,515.9938354,0.7580463886,580.0140381,0.7472521663,580.0140381,0.7509970665,,,415.9934998,0.8040633798,415.9934998,0.8036801219,,,983.2047119,0.7104228735,
757.5133667,0.7341026068,329.9858704,0.9074123502,,,,,515.008606,0.7576574683,575.0088501,0.7469210625,575.0088501,0.746874392,,,414.9892578,0.8081365228,414.9892578,0.8060011864,,,983.0136719,0.7095996141,
756.9829102,0.7356473804,327.990387,0.920053184,,,,,513.9851685,0.7607091665,569.9975586,0.7334287167,569.9975586,0.7438468933,,,413.9847412,0.8053797483,413.9847412,0.806625843,,,982.7907104,0.7117717266,
756.4877319,0.7344751358,325.9944458,0.9188342094,,,,,512.9995117,0.7602078915,565.0174561,0.7431592941,565.0174561,0.741671145,,,413.0187378,0.8060081601,413.0187378,0.8072739244,,,982.5997925,0.711207509,
755.9924316,0.7336421013,323.9979553,0.9114159346,,,,,512.0136108,0.7608528733,559.9939575,0.7504104972,559.9939575,0.7477799654,,,412.013916,0.8045484424,412.013916,0.809748292,,,982.4086914,0.7134299874,
755.4971313,0.7353886962,322.0009766,0.9206584096,,,,,510.9895935,0.7604430914,555.0018921,0.746761024,555.0018921,0.7442333102,,,411.0089722,0.8091837764,411.0089722,0.8115808964,,,982.1856079,0.715275228,
755.0016479,0.7345409989,320.0035095,0.9377756119,,,,,510.0032959,0.7607191801,550.0039063,0.7473888993,550.0039063,0.7413426638,,,410.0037537,0.8106011152,410.0037537,0.8063433766,,,981.9944458,0.7139644623,
754.5061035,0.7343739867,318.0054932,0.9308983088,,,,,509.0167847,0.7616376877,545.000061,0.7468736172,545.000061,0.744502604,,,408.9984741,0.8070198894,408.9984741,0.810174644,,,981.8033447,0.7144125104,
754.010498,0.7346108556,316.0070496,0.944446981,,,,,507.9921265,0.7613791823,539.9904785,0.7459951639,539.9904785,0.7376243472,,,407.9930115,0.8104814887,407.9930115,0.8108144403,,,981.6121216,0.7171731591,
753.5147705,0.7340155244,314.0080261,0.9289591312,,,,,507.0051575,0.7627295256,535.0127563,0.7497643828,535.0127563,0.7513499856,,,406.9873657,0.812663734,406.9873657,0.8111866713,,,981.3889771,0.7146819234,
752.9835205,0.7346869111,312.0085754,0.9432625175,,,,,506.0180359,0.7630958557,529.9916992,0.7586994171,529.9916992,0.757532537,,,405.9815369,0.8148036003,405.9815369,0.8112895489,,,981.1978149,0.7198865414,
